"","V1","V2","V3","V4"
"216","-0.991061415745478","6","20","1 & 2"
"217","-0.991197028429098","7","20","1 & 2"
"218","-0.991366758442368","8","20","1 & 2"
"219","-0.99156133607898","9","20","1 & 2"
"220","-0.991767871883258","10","20","1 & 2"
"221","0.997315136217581","0","21","1 & 2"
"222","0.997247238031102","1","21","1 & 2"
"223","0.997179575816131","2","21","1 & 2"
"224","0.997118407372051","3","21","1 & 2"
"225","0.997067565268579","4","21","1 & 2"
"226","0.997027710367271","5","21","1 & 2"
"227","0.996997122441121","6","21","1 & 2"
"228","0.996973054049129","7","21","1 & 2"
"229","0.996952925297916","8","21","1 & 2"
"230","0.996935109451886","9","21","1 & 2"
"231","0.996919473553938","10","21","1 & 2"
"232","-0.951980026245633","0","22","1 & 2"
"233","-0.953271459867669","1","22","1 & 2"
"234","-0.954642422138797","2","22","1 & 2"
"235","-0.955996871215755","3","22","1 & 2"
"236","-0.957221220556014","4","22","1 & 2"
"237","-0.958213453794781","5","22","1 & 2"
"238","-0.958912659979137","6","22","1 & 2"
"239","-0.959313818307217","7","22","1 & 2"
"240","-0.959461118044079","8","22","1 & 2"
"241","-0.959426768499643","9","22","1 & 2"
"242","-0.9592886006838","10","22","1 & 2"
"243","0.726459060527893","0","23","1 & 2"
"244","0.734032975873492","1","23","1 & 2"
"245","0.742916010650485","2","23","1 & 2"
"246","0.752341810864725","3","23","1 & 2"
"247","0.761230213677352","4","23","1 & 2"
"248","0.768589511133744","5","23","1 & 2"
"249","0.773894812747929","6","23","1 & 2"
"250","0.777219074980213","7","23","1 & 2"
"251","0.779064408537987","8","23","1 & 2"
"252","0.780030827412579","9","23","1 & 2"
"253","0.780543966811726","10","23","1 & 2"
"254","-0.997299891451469","0","24","1 & 2"
"255","-0.997270167256274","1","24","1 & 2"
"256","-0.997259750269166","2","24","1 & 2"
"257","-0.99726564416205","3","24","1 & 2"
"258","-0.997282110959928","4","24","1 & 2"
"259","-0.997302481174957","5","24","1 & 2"
"260","-0.997321322220537","6","24","1 & 2"
"261","-0.997335945712021","7","24","1 & 2"
"262","-0.997346746888504","8","24","1 & 2"
"263","-0.997356559062195","9","24","1 & 2"
"264","-0.997369481233497","10","24","1 & 2"
"265","0.538553145314204","0","25","1 & 2"
"266","0.529975213357028","1","25","1 & 2"
"267","0.520925025330274","2","25","1 & 2"
"268","0.511406176091067","3","25","1 & 2"
"269","0.501438797664074","4","25","1 & 2"
"270","0.491053114443349","5","25","1 & 2"
"271","0.480279473776392","6","25","1 & 2"
"272","0.469135656465921","7","25","1 & 2"
"273","0.457614690720792","8","25","1 & 2"
"274","0.445678666770858","9","25","1 & 2"
"275","0.433262015037442","10","25","1 & 2"
"276","-0.9319066379349","0","26","1 & 2"
"277","-0.936117061757647","1","26","1 & 2"
"278","-0.940015031994182","2","26","1 & 2"
"279","-0.943583995289911","3","26","1 & 2"
"280","-0.946836448115484","4","26","1 & 2"
"281","-0.94980116066739","5","26","1 & 2"
"282","-0.952512423289894","6","26","1 & 2"
"283","-0.955002122129993","7","26","1 & 2"
"284","-0.957293670522003","8","26","1 & 2"
"285","-0.959399537060226","9","26","1 & 2"
"286","-0.961322725461352","10","26","1 & 2"
"287","-0.998355223898931","0","27","1 & 2"
"288","-0.998499914285822","1","27","1 & 2"
"289","-0.998630265358464","2","27","1 & 2"
"290","-0.998745292501914","3","27","1 & 2"
"291","-0.998845128068046","4","27","1 & 2"
"292","-0.998930481357092","5","27","1 & 2"
"293","-0.999002438477272","6","27","1 & 2"
"294","-0.999062479803698","7","27","1 & 2"
"295","-0.999112442184714","8","27","1 & 2"
"296","-0.999154358225451","9","27","1 & 2"
"297","-0.999190198092404","10","27","1 & 2"
"298","0.994987244979035","0","28","1 & 2"
"299","0.995005274116669","1","28","1 & 2"
"300","0.995035288183168","2","28","1 & 2"
"301","0.995082289872903","3","28","1 & 2"
"302","0.995149774297376","4","28","1 & 2"
"303","0.995239081653522","5","28","1 & 2"
"304","0.995349033521631","6","28","1 & 2"
"305","0.9954758507152","7","28","1 & 2"
"306","0.995613510268453","8","28","1 & 2"
"307","0.995754714309871","9","28","1 & 2"
"308","0.995892377590654","10","28","1 & 2"
"309","0.977972010147038","0","29","1 & 2"
"310","0.97864771122176","1","29","1 & 2"
"311","0.979350546578636","2","29","1 & 2"
"312","0.980088345865779","3","29","1 & 2"
"313","0.980862356272754","4","29","1 & 2"
"314","0.981665111462414","5","29","1 & 2"
"315","0.982480576219136","6","29","1 & 2"
"316","0.983286558877391","7","29","1 & 2"
"317","0.984058888416859","8","29","1 & 2"
"318","0.984776449559732","9","29","1 & 2"
"319","0.98542567224884","10","29","1 & 2"
"320","-0.993413143422069","0","30","1 & 2"
"321","-0.993588438283344","1","30","1 & 2"
"322","-0.993768388620101","2","30","1 & 2"
"323","-0.993952507974242","3","30","1 & 2"
"324","-0.994140162615561","4","30","1 & 2"
"325","-0.994330475616792","5","30","1 & 2"
"326","-0.994522239017917","6","30","1 & 2"
"327","-0.99471387302644","7","30","1 & 2"
"328","-0.994903463795633","8","30","1 & 2"
"329","-0.995088880420829","9","30","1 & 2"
"330","-0.995267942719084","10","30","1 & 2"
"331","0.767066898943576","0","31","1 & 2"
"332","0.771671170639968","1","31","1 & 2"
"333","0.777114830931712","2","31","1 & 2"
"334","0.783020610838576","3","31","1 & 2"
"335","0.789005974326165","4","31","1 & 2"
"336","0.794773761710192","5","31","1 & 2"
"337","0.80017939791366","6","31","1 & 2"
"338","0.805252319882844","7","31","1 & 2"
"339","0.810169840688076","8","31","1 & 2"
"340","0.815196128220312","9","31","1 & 2"
"341","0.820600080592229","10","31","1 & 2"
"342","-0.999296273017361","0","32","1 & 2"
"343","-0.999334590284527","1","32","1 & 2"
"344","-0.999374541364605","2","32","1 & 2"
"345","-0.999415414439712","3","32","1 & 2"
"346","-0.99945638997644","4","32","1 & 2"
"347","-0.999496551043779","5","32","1 & 2"
"348","-0.999534913540866","6","32","1 & 2"
"349","-0.999570497464053","7","32","1 & 2"
"350","-0.999602443675683","8","32","1 & 2"
"351","-0.99963014410574","9","32","1 & 2"
"352","-0.999653337001075","10","32","1 & 2"
"353","-0.880342603513176","0","33","1 & 2"
"354","-0.882971305268881","1","33","1 & 2"
"355","-0.886098395032018","2","33","1 & 2"
"356","-0.889616720545695","3","33","1 & 2"
"357","-0.893341998551496","4","33","1 & 2"
"358","-0.897073484763089","5","33","1 & 2"
"359","-0.900650944874569","6","33","1 & 2"
"360","-0.903982402844251","7","33","1 & 2"
"361","-0.907040463620478","8","33","1 & 2"
"362","-0.909842322117461","9","33","1 & 2"
"363","-0.912427803969396","10","33","1 & 2"
"364","-0.989081361803108","0","34","1 & 2"
"365","-0.989227280486885","1","34","1 & 2"
"366","-0.989378281159066","2","34","1 & 2"
"367","-0.989526803922163","3","34","1 & 2"
"368","-0.989663250016531","4","34","1 & 2"
"369","-0.989778127436612","5","34","1 & 2"
"370","-0.989864279815458","6","34","1 & 2"
"371","-0.989918409179946","7","34","1 & 2"
"372","-0.989941704157703","8","34","1 & 2"
"373","-0.989939611818541","9","34","1 & 2"
"374","-0.989920965577962","10","34","1 & 2"
"375","-0.998773402446929","0","35","1 & 2"
"376","-0.998779597994178","1","35","1 & 2"
"377","-0.998783725906739","2","35","1 & 2"
"378","-0.998785628276093","3","35","1 & 2"
"379","-0.998785640427524","4","35","1 & 2"
"380","-0.998784397582669","5","35","1 & 2"
"381","-0.998782674225466","6","35","1 & 2"
"382","-0.998781243027755","7","35","1 & 2"
"383","-0.99878071537416","8","35","1 & 2"
"384","-0.998781398027911","9","35","1 & 2"
"385","-0.998783211844853","10","35","1 & 2"
"386","0.959512797231184","0","36","1 & 2"
"387","0.959555395665947","1","36","1 & 2"
"388","0.959752404781849","2","36","1 & 2"
"389","0.96012490165996","3","36","1 & 2"
"390","0.960681153941052","4","36","1 & 2"
