"","V1","V2","V3","V4"
"331","-0.853017651107263","0","31","1 & 2"
"332","-0.861330112441138","1","31","1 & 2"
"333","-0.869227070917041","2","31","1 & 2"
"334","-0.876585384253099","3","31","1 & 2"
"335","-0.883232292178134","4","31","1 & 2"
"336","-0.888970670374347","5","31","1 & 2"
"337","-0.893619218511893","6","31","1 & 2"
"338","-0.897046265167271","7","31","1 & 2"
"339","-0.899182302998089","8","31","1 & 2"
"340","-0.900012463767826","9","31","1 & 2"
"341","-0.899560710836604","10","31","1 & 2"
"342","-0.696820695333647","0","32","1 & 2"
"343","-0.704195235278283","1","32","1 & 2"
"344","-0.712078805274155","2","32","1 & 2"
"345","-0.720544949839094","3","32","1 & 2"
"346","-0.729597137842862","4","32","1 & 2"
"347","-0.73913389152413","5","32","1 & 2"
"348","-0.748957122112128","6","32","1 & 2"
"349","-0.758810149698879","7","32","1 & 2"
"350","-0.768415439184592","8","32","1 & 2"
"351","-0.77749194754809","9","32","1 & 2"
"352","-0.785754593718396","10","32","1 & 2"
"353","0.380765219805008","0","33","1 & 2"
"354","0.3974663818895","1","33","1 & 2"
"355","0.41693867193816","2","33","1 & 2"
"356","0.438710820702484","3","33","1 & 2"
"357","0.461752203798971","4","33","1 & 2"
"358","0.484642954706739","5","33","1 & 2"
"359","0.505923278932164","6","33","1 & 2"
"360","0.524481442618137","7","33","1 & 2"
"361","0.539785968066344","8","33","1 & 2"
"362","0.551870492152739","9","33","1 & 2"
"363","0.56115352796945","10","33","1 & 2"
"364","-0.743514177446019","0","34","1 & 2"
"365","-0.749415347291324","1","34","1 & 2"
"366","-0.756453912762081","2","34","1 & 2"
"367","-0.764899461798053","3","34","1 & 2"
"368","-0.774567977243212","4","34","1 & 2"
"369","-0.784943639329952","5","34","1 & 2"
"370","-0.795404904105049","6","34","1 & 2"
"371","-0.805421966795652","7","34","1 & 2"
"372","-0.814647289127144","8","34","1 & 2"
"373","-0.822917036814339","9","34","1 & 2"
"374","-0.830223332305466","10","34","1 & 2"
"375","-0.570072830349206","0","35","1 & 2"
"376","-0.584415937972583","1","35","1 & 2"
"377","-0.596141298280367","2","35","1 & 2"
"378","-0.605495224385046","3","35","1 & 2"
"379","-0.612976626646441","4","35","1 & 2"
"380","-0.619175647745125","5","35","1 & 2"
"381","-0.624668343290202","6","35","1 & 2"
"382","-0.629956805855445","7","35","1 & 2"
"383","-0.635418991783091","8","35","1 & 2"
"384","-0.641261358936378","9","35","1 & 2"
